nohup: ignoring input
[full_import] start import_customer_to_neo4j
[customer] written=15900000 total=15900000 skipped=0
[customer] written=15950000 total=15950000 skipped=0
[customer] written=16000000 total=16000000 skipped=0
[customer] written=16050000 total=16050000 skipped=0
[customer] written=16100000 total=16100000 skipped=0
[customer] written=16150000 total=16150000 skipped=0
[customer] written=16200000 total=16200000 skipped=0
[customer] written=16250000 total=16250000 skipped=0
[customer] written=16300000 total=16300000 skipped=0
[customer] written=16350000 total=16350000 skipped=0
[customer] written=16400000 total=16400000 skipped=0
[customer] written=16450000 total=16450000 skipped=0
[customer] written=16500000 total=16500000 skipped=0
[customer] written=16550000 total=16550000 skipped=0
[customer] written=16600000 total=16600000 skipped=0
[customer] written=16650000 total=16650000 skipped=0
[customer] written=16700000 total=16700000 skipped=0
[customer] written=16750000 total=16750000 skipped=0
[customer] written=16800000 total=16800000 skipped=0
[customer] written=16850000 total=16850000 skipped=0
[customer] written=16900000 total=16900000 skipped=0
[customer] written=16950000 total=16950000 skipped=0
[customer] written=17000000 total=17000000 skipped=0
[customer] written=17050000 total=17050000 skipped=0
[customer] written=17100000 total=17100000 skipped=0
[customer] written=17150000 total=17150000 skipped=0
[customer] written=17200000 total=17200000 skipped=0
[customer] written=17250000 total=17250000 skipped=0
[customer] written=17300000 total=17300000 skipped=0
[customer] written=17350000 total=17350000 skipped=0
[customer] written=17400000 total=17400000 skipped=0
[customer] written=17450000 total=17450000 skipped=0
[customer] written=17500000 total=17500000 skipped=0
[customer] written=17550000 total=17550000 skipped=0
[customer] written=17600000 total=17600000 skipped=0
[customer] written=17650000 total=17650000 skipped=0
[customer] written=17700000 total=17700000 skipped=0
[customer] written=17750000 total=17750000 skipped=0
[customer] written=17800000 total=17800000 skipped=0
[customer] written=17850000 total=17850000 skipped=0
[customer] written=17900000 total=17900000 skipped=0
[customer] written=17950000 total=17950000 skipped=0
[customer] written=18000000 total=18000000 skipped=0
[customer] written=18050000 total=18050000 skipped=0
[customer] written=18100000 total=18100000 skipped=0
[customer] written=18150000 total=18150000 skipped=0
[customer] written=18200000 total=18200000 skipped=0
[customer] written=18250000 total=18250000 skipped=0
[customer] written=18300000 total=18300000 skipped=0
[customer] written=18350000 total=18350000 skipped=0
[customer] written=18400000 total=18400000 skipped=0
[customer] written=18450000 total=18450000 skipped=0
[customer] written=18500000 total=18500000 skipped=0
[customer] written=18550000 total=18550000 skipped=0
[customer] written=18600000 total=18600000 skipped=0
[customer] written=18650000 total=18650000 skipped=0
[customer] written=18700000 total=18700000 skipped=0
[customer] written=18750000 total=18750000 skipped=0
[customer] written=18800000 total=18800000 skipped=0
[customer] written=18850000 total=18850000 skipped=0
[customer] written=18900000 total=18900000 skipped=0
[customer] written=18950000 total=18950000 skipped=0
[customer] written=19000000 total=19000000 skipped=0
[customer] written=19050000 total=19050000 skipped=0
[customer] written=19100000 total=19100000 skipped=0
[customer] written=19150000 total=19150000 skipped=0
[customer] written=19200000 total=19200000 skipped=0
[customer] written=19250000 total=19250000 skipped=0
[customer] written=19300000 total=19300000 skipped=0
[customer] written=19350000 total=19350000 skipped=0
[customer] written=19400000 total=19400000 skipped=0
[customer] written=19450000 total=19450000 skipped=0
[customer] written=19500000 total=19500000 skipped=0
[customer] written=19550000 total=19550000 skipped=0
[customer] written=19600000 total=19600000 skipped=0
[customer] written=19650000 total=19650000 skipped=0
[customer] written=19700000 total=19700000 skipped=0
[customer] written=19750000 total=19750000 skipped=0
[customer] written=19800000 total=19800000 skipped=0
[customer] written=19850000 total=19850000 skipped=0
[customer] written=19900000 total=19900000 skipped=0
[customer] written=19950000 total=19950000 skipped=0
[customer] written=20000000 total=20000000 skipped=0
[customer] written=20050000 total=20050000 skipped=0
[customer] written=20100000 total=20100000 skipped=0
[customer] written=20150000 total=20150000 skipped=0
[customer] written=20200000 total=20200000 skipped=0
[customer] written=20250000 total=20250000 skipped=0
[customer] written=20300000 total=20300000 skipped=0
[customer] written=20350000 total=20350000 skipped=0
[customer] written=20400000 total=20400000 skipped=0
[customer] written=20450000 total=20450000 skipped=0
[customer] written=20500000 total=20500000 skipped=0
[customer] written=20550000 total=20550000 skipped=0
[customer] written=20600000 total=20600000 skipped=0
[customer] written=20650000 total=20650000 skipped=0
[customer] written=20700000 total=20700000 skipped=0
[customer] written=20750000 total=20750000 skipped=0
[customer] written=20800000 total=20800000 skipped=0
[customer] written=20850000 total=20850000 skipped=0
[customer] written=20900000 total=20900000 skipped=0
[customer] written=20950000 total=20950000 skipped=0
